t_ros,u_cmd_L,u_cmd_R,p_ch_L,p_ch_R,p_sup,L_pos_mm,R_pos_mm,F_L,F_R
1768579764.5823934,5.0,5.0,0.0,0.0,0.0,213.83993530273438,200.83926391601562,117.14456176757812,120.24088287353516
1768579764.5833874,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.90029907226562,117.67839813232422,120.52560424804688
1768579764.5843875,5.0,5.0,0.0,0.0,0.0,213.90097045898438,201.32754516601562,117.78517150878906,120.09852600097656
1768579764.5853865,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.96133422851562,117.67839813232422,120.41883087158203
1768579764.586386,5.0,5.0,0.0,0.0,0.0,214.02304077148438,201.32754516601562,117.39368438720703,120.02735137939453
1768579764.5873885,5.0,5.0,0.0,0.0,0.0,213.47372436523438,200.7781982421875,117.14456176757812,119.99176025390625
1768579764.5883853,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.83926391601562,117.322509765625,120.16970825195312
1768579764.5893826,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.7171630859375,117.67839813232422,120.41883087158203
1768579764.5903878,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.4730224609375,117.39368438720703,120.34765625
1768579764.5913897,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.90029907226562,117.39368438720703,120.16970825195312
1768579764.592388,5.0,5.0,0.0,0.0,0.0,213.53475952148438,201.08340454101562,117.322509765625,120.13411712646484
1768579764.5933876,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.7781982421875,117.18014526367188,120.27647399902344
1768579764.594386,5.0,5.0,0.0,0.0,0.0,214.08407592773438,201.20547485351562,117.28691864013672,120.20529174804688
1768579764.5953875,5.0,5.0,0.0,0.0,0.0,213.65682983398438,201.08340454101562,117.25132751464844,119.95616912841797
1768579764.5963879,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.7171630859375,117.5716323852539,120.38323974609375
1768579764.5973876,5.0,5.0,0.0,0.0,0.0,213.77890014648438,201.32754516601562,117.4648666381836,120.06293487548828
1768579764.5983841,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.83926391601562,117.53604125976562,119.95616912841797
1768579764.5993881,5.0,5.0,0.0,0.0,0.0,214.14511108398438,201.08340454101562,117.322509765625,120.34765625
1768579764.6003964,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.96133422851562,117.0733642578125,119.95616912841797
1768579764.601387,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.6561279296875,117.35809326171875,119.95616912841797
1768579764.602388,5.0,5.0,0.0,0.0,0.0,214.02304077148438,201.02236938476562,117.25132751464844,120.09852600097656
1768579764.603387,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.6561279296875,117.322509765625,120.24088287353516
1768579764.604387,5.0,5.0,0.0,0.0,0.0,213.83993530273438,200.83926391601562,117.4648666381836,119.99176025390625
1768579764.6053874,5.0,5.0,0.0,0.0,0.0,213.77890014648438,201.02236938476562,117.39368438720703,120.20529174804688
1768579764.6063886,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.90029907226562,117.322509765625,119.99176025390625
1768579764.6073883,5.0,5.0,0.0,0.0,0.0,214.08407592773438,201.20547485351562,117.53604125976562,120.24088287353516
1768579764.6083875,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.83926391601562,117.50045013427734,120.02735137939453
1768579764.6093872,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.83926391601562,117.50045013427734,120.27647399902344
1768579764.6103852,5.0,5.0,0.0,0.0,0.0,213.71786499023438,201.08340454101562,117.18014526367188,120.31206512451172
1768579764.6113873,5.0,5.0,0.0,0.0,0.0,213.41268920898438,201.32754516601562,117.21573638916016,120.20529174804688
1768579764.6123872,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.6561279296875,117.25132751464844,120.13411712646484
1768579764.6133878,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.90029907226562,117.10897064208984,119.8849868774414
1768579764.614388,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.7781982421875,117.64281463623047,120.41883087158203
1768579764.6153872,5.0,5.0,0.0,0.0,0.0,214.02304077148438,201.08340454101562,117.4648666381836,120.31206512451172
1768579764.6163876,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.7781982421875,117.39368438720703,120.27647399902344
1768579764.617387,5.0,5.0,0.0,0.0,0.0,214.14511108398438,201.26651000976562,117.39368438720703,120.24088287353516
1768579764.618387,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.83926391601562,117.5716323852539,120.20529174804688
1768579764.61939,5.0,5.0,0.0,0.0,0.0,213.83993530273438,201.02236938476562,117.14456176757812,119.8849868774414
1768579764.6203873,5.0,5.0,0.0,0.0,0.0,213.53475952148438,200.7781982421875,117.25132751464844,120.20529174804688
1768579764.621387,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.5340576171875,117.25132751464844,120.31206512451172
1768579764.6223853,5.0,5.0,0.0,0.0,0.0,213.35165405273438,200.83926391601562,117.28691864013672,120.24088287353516
1768579764.623388,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.83926391601562,117.28691864013672,120.16970825195312
1768579764.6243875,5.0,5.0,0.0,0.0,0.0,213.96200561523438,201.08340454101562,117.18014526367188,120.24088287353516
1768579764.6253877,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.90029907226562,117.18014526367188,120.13411712646484
1768579764.6263883,5.0,5.0,0.0,0.0,0.0,213.83993530273438,200.96133422851562,117.21573638916016,120.20529174804688
